,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_CODE,YIELD,UNIT
33,.1~897,897,D3,04,15,04/15,2024-03-15T00:00:00,15,75,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
34,.1~632,632,D3,03,13,03/13,2024-02-22T00:00:00,11,53,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
35,.1~671,671,D3,03,16,03/16,2024-02-25T00:00:00,12,56,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
36,.1~917,917,D3,04,17,04/17,2024-03-17T00:00:00,16,77,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
37,.1~495,495,D3,03,02,03/02,2024-02-11T00:00:00,9,42,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
38,.1~324,324,D3,02,07,02/07,2024-01-27T00:00:00,6,27,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.5E4,ST
39,.1~225,225,D3,01,19,01/19,2024-01-19T00:00:00,4,19,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
40,.1~771,771,D3,04,05,04/05,2024-03-05T00:00:00,13,65,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
41,.1~13,13,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
42,.1~281,281,D3,02,04,02/04,2024-01-24T00:00:00,5,24,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
43,.1~705,705,D3,03,19,03/19,2024-02-28T00:00:00,12,59,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
44,.1~677,677,D3,03,17,03/17,2024-02-26T00:00:00,12,57,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
45,.1~589,589,D3,03,10,03/10,2024-02-19T00:00:00,10,50,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
46,.1~935,935,D3,04,18,04/18,2024-03-18T00:00:00,16,78,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.654E3,ST
47,.1~958,958,D3,04,20,04/20,2024-03-20T00:00:00,16,80,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
48,.1~312,312,D3,02,06,02/06,2024-01-26T00:00:00,6,26,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,1.5829E4,ST
49,.1~879,879,D3,04,14,04/14,2024-03-14T00:00:00,15,74,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
50,.1~197,197,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
51,.1~804,804,D3,04,07,04/07,2024-03-07T00:00:00,14,67,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.5E4,ST
52,.1~540,540,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.5E4,ST
53,.1~764,764,D3,04,04,04/04,2024-03-04T00:00:00,13,64,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
54,.1~489,489,D3,03,01,03/01,2024-02-10T00:00:00,9,41,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
55,.1~694,694,D3,03,18,03/18,2024-02-27T00:00:00,12,58,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
56,.1~601,601,D3,03,11,03/11,2024-02-20T00:00:00,11,51,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
57,.1~82,82,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
58,.1~295,295,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
59,.1~717,717,D3,03,20,03/20,2024-02-29T00:00:00,12,60,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
60,.1~413,413,D3,02,15,02/15,2024-02-04T00:00:00,7,35,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
61,.1~42,42,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
62,.1~149,149,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
63,.1~349,349,D3,02,10,02/10,2024-01-30T00:00:00,6,30,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
64,.1~91,91,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
65,.1~465,465,D3,02,19,02/19,2024-02-08T00:00:00,8,39,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
66,.1~270,270,D3,02,03,02/03,2024-01-23T00:00:00,5,23,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
67,.1~528,528,D3,03,04,03/04,2024-02-13T00:00:00,9,44,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.0159E4,ST
68,.1~822,822,D3,04,09,04/09,2024-03-09T00:00:00,14,69,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
69,.1~238,238,D3,01,20,01/20,2024-01-20T00:00:00,4,20,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
70,.1~422,422,D3,02,16,02/16,2024-02-05T00:00:00,8,36,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
71,.1~908,908,D3,04,16,04/16,2024-03-16T00:00:00,16,76,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
72,.1~338,338,D3,02,09,02/09,2024-01-29T00:00:00,6,29,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
73,.1~553,553,D3,03,07,03/07,2024-02-16T00:00:00,10,47,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
74,.1~189,189,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
75,.1~335,335,D3,02,08,02/08,2024-01-28T00:00:00,6,28,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,7.171E3,ST
76,.1~847,847,D3,04,11,04/11,2024-03-11T00:00:00,15,71,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
77,.1~472,472,D3,02,20,02/20,2024-02-09T00:00:00,8,40,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
78,.1~855,855,D3,04,12,04/12,2024-03-12T00:00:00,15,72,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
79,.1~552,552,D3,03,06,03/06,2024-02-15T00:00:00,10,46,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,1.8841E4,ST
80,.1~504,504,D3,03,02,03/02,2024-02-11T00:00:00,9,42,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
81,.1~516,516,D3,03,03,03/03,2024-02-12T00:00:00,9,43,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
82,.1~527,527,D3,03,04,03/04,2024-02-13T00:00:00,9,44,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,6.74E2,ST
83,.1~536,536,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
84,.1~544,544,D3,03,06,03/06,2024-02-15T00:00:00,10,46,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
85,.1~126,126,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
86,.1~556,556,D3,03,07,03/07,2024-02-16T00:00:00,10,47,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
87,.1~565,565,D3,03,08,03/08,2024-02-17T00:00:00,10,48,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
88,.1~117,117,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
89,.1~585,585,D3,03,09,03/09,2024-02-18T00:00:00,10,49,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
90,.1~591,591,D3,03,10,03/10,2024-02-19T00:00:00,10,50,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
91,.1~604,604,D3,03,11,03/11,2024-02-20T00:00:00,11,51,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
92,.1~106,106,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
93,.1~623,623,D3,03,12,03/12,2024-02-21T00:00:00,11,52,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
94,.1~628,628,D3,03,13,03/13,2024-02-22T00:00:00,11,53,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
95,.1~647,647,D3,03,14,03/14,2024-02-23T00:00:00,11,54,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
96,.1~658,658,D3,03,15,03/15,2024-02-24T00:00:00,11,55,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
97,.1~666,666,D3,03,16,03/16,2024-02-25T00:00:00,12,56,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
98,.1~673,673,D3,03,17,03/17,2024-02-26T00:00:00,12,57,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
99,.1~86,86,D3,01,08,01/08,2024-01-08T00:00:00,2,8,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
100,.1~692,692,D3,03,18,03/18,2024-02-27T00:00:00,12,58,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
101,.1~708,708,D3,03,19,03/19,2024-02-28T00:00:00,12,59,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,1.499E4,ST
102,.1~77,77,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
103,.1~720,720,D3,03,20,03/20,2024-02-29T00:00:00,12,60,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
104,.1~71,71,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,3.167E3,ST
105,.1~732,732,D3,04,01,04/01,2024-03-01T00:00:00,13,61,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.401E4,ST
106,.1~739,739,D3,04,02,04/02,2024-03-02T00:00:00,13,62,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
107,.1~749,749,D3,04,03,04/03,2024-03-03T00:00:00,13,63,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
108,.1~758,758,D3,04,04,04/04,2024-03-04T00:00:00,13,64,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
109,.1~228,228,D3,01,19,01/19,2024-01-19T00:00:00,4,19,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,1.333E4,ST
110,.1~240,240,D3,01,20,01/20,2024-01-20T00:00:00,4,20,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
111,.1~214,214,D3,01,18,01/18,2024-01-18T00:00:00,4,18,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
112,.1~252,252,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
113,.1~263,263,D3,02,02,02/02,2024-01-22T00:00:00,5,22,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,6.7E2,ST
114,.1~266,266,D3,02,03,02/03,2024-01-23T00:00:00,5,23,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
115,.1~282,282,D3,02,04,02/04,2024-01-24T00:00:00,5,24,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
116,.1~297,297,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
117,.1~308,308,D3,02,06,02/06,2024-01-26T00:00:00,6,26,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
118,.1~195,195,D3,01,17,01/17,2024-01-17T00:00:00,4,17,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
119,.1~320,320,D3,02,07,02/07,2024-01-27T00:00:00,6,27,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
120,.1~329,329,D3,02,08,02/08,2024-01-28T00:00:00,6,28,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
121,.1~187,187,D3,01,16,01/16,2024-01-16T00:00:00,4,16,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
122,.1~347,347,D3,02,09,02/09,2024-01-29T00:00:00,6,29,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
123,.1~358,358,D3,02,10,02/10,2024-01-30T00:00:00,6,30,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
124,.1~361,361,D3,02,11,02/11,2024-01-31T00:00:00,7,31,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
125,.1~178,178,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
126,.1~379,379,D3,02,12,02/12,2024-02-01T00:00:00,7,32,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
127,.1~395,395,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
128,.1~404,404,D3,02,14,02/14,2024-02-03T00:00:00,7,34,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
129,.1~412,412,D3,02,15,02/15,2024-02-04T00:00:00,7,35,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
130,.1~162,162,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
131,.1~431,431,D3,02,16,02/16,2024-02-05T00:00:00,8,36,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
132,.1~438,438,D3,02,17,02/17,2024-02-06T00:00:00,8,37,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
133,.1~445,445,D3,02,18,02/18,2024-02-07T00:00:00,8,38,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
134,.1~153,153,D3,01,13,01/13,2024-01-13T00:00:00,3,13,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
135,.1~462,462,D3,02,19,02/19,2024-02-08T00:00:00,8,39,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
136,.1~477,477,D3,02,20,02/20,2024-02-09T00:00:00,8,40,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
137,.1~142,142,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
138,.1~492,492,D3,03,01,03/01,2024-02-10T00:00:00,9,41,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,1.3326E4,ST
139,.1~802,802,D3,04,07,04/07,2024-03-07T00:00:00,14,67,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
140,.1~47,47,D3,01,04,01/04,2024-01-04T00:00:00,1,4,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,8.833E3,ST
141,.1~805,805,D3,04,08,04/08,2024-03-08T00:00:00,14,68,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
142,.1~820,820,D3,04,09,04/09,2024-03-09T00:00:00,14,69,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
143,.1~839,839,D3,04,10,04/10,2024-03-10T00:00:00,14,70,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
144,.1~851,851,D3,04,11,04/11,2024-03-11T00:00:00,15,71,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,6.155E3,ST
145,.1~31,31,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
146,.1~864,864,D3,04,12,04/12,2024-03-12T00:00:00,15,72,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
147,.1~876,876,D3,04,13,04/13,2024-03-13T00:00:00,15,73,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
148,.1~887,887,D3,04,14,04/14,2024-03-14T00:00:00,15,74,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,7.845E3,ST
149,.1~889,889,D3,04,15,04/15,2024-03-15T00:00:00,15,75,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
150,.1~21,21,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
151,.1~909,909,D3,04,16,04/16,2024-03-16T00:00:00,16,76,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
152,.1~920,920,D3,04,17,04/17,2024-03-17T00:00:00,16,77,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
153,.1~926,926,D3,04,18,04/18,2024-03-18T00:00:00,16,78,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
154,.1~937,937,D3,04,19,04/19,2024-03-19T00:00:00,16,79,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
155,.1~949,949,D3,04,20,04/20,2024-03-20T00:00:00,16,80,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
156,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
157,.1~789,789,D3,04,06,04/06,2024-03-06T00:00:00,14,66,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
158,.1~60,60,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.5E4,ST
159,.1~770,770,D3,04,05,04/05,2024-03-05T00:00:00,13,65,DD-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
160,.1~159,159,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,0,ST
161,.1~874,874,D3,04,13,04/13,2024-03-13T00:00:00,15,73,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,0,ST
162,.1~433,433,D3,02,17,02/17,2024-02-06T00:00:00,8,37,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,0,ST
163,.1~428,428,D3,02,16,02/16,2024-02-05T00:00:00,8,36,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,0,ST
164,.1~587,587,D3,03,09,03/09,2024-02-18T00:00:00,10,49,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,8.825E3,ST
165,.1~517,517,D3,03,04,03/04,2024-02-13T00:00:00,9,44,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,0,ST
166,.1~514,514,D3,03,03,03/03,2024-02-12T00:00:00,9,43,DD-F11,1kg Nut Muesli,1kg,Nut Muesli,F11,0,ST
