,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
36,.1~37,37,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F11,1kg Nut Muesli,10,Hypermarket,9.61,EUR
37,.1~38,38,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F11,1kg Nut Muesli,12,Grocery chains,10.61,EUR
38,.1~39,39,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F12,1kg Blueberry Muesli,10,Hypermarket,10.26,EUR
39,.1~40,40,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F12,1kg Blueberry Muesli,12,Grocery chains,11.26,EUR
40,.1~41,41,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F13,1kg Strawberry Muesli,10,Hypermarket,10.27,EUR
41,.1~42,42,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F13,1kg Strawberry Muesli,12,Grocery chains,11.27,EUR
42,.1~43,43,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F14,1kg Raisin Muesli,10,Hypermarket,9.38,EUR
43,.1~44,44,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F14,1kg Raisin Muesli,12,Grocery chains,10.38,EUR
44,.1~45,45,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F15,1kg Original Muesli,10,Hypermarket,9.35,EUR
45,.1~46,46,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F15,1kg Original Muesli,12,Grocery chains,10.35,EUR
46,.1~47,47,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,10.06,EUR
47,.1~48,48,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,11.06,EUR
