,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
621,.1~147,147,C2,Market,01,3,500g Strawberry Muesli,12,South,2306,ST,6.23,14366.38,EUR
622,.1~149,149,C2,Market,01,3,500g Strawberry Muesli,12,West,5117,ST,6.23,31878.91,EUR
623,.1~151,151,C2,Market,01,3,500g Blueberry Muesli,14,South,447,ST,7.48,3343.56,EUR
624,.1~153,153,C2,Market,01,3,500g Mixed Fruit Muesli,14,North,2266,ST,6.13,13890.58,EUR
625,.1~155,155,C2,Market,01,3,500g Mixed Fruit Muesli,14,South,4734,ST,6.13,29019.42,EUR
626,.1~157,157,C2,Market,01,3,500g Mixed Fruit Muesli,14,West,2857,ST,6.13,17513.41,EUR
627,.1~159,159,C2,Market,01,3,500g Nut Muesli,14,North,3802,ST,7.08,26918.16,EUR
628,.1~161,161,C2,Market,01,3,500g Nut Muesli,14,South,1169,ST,7.08,8276.52,EUR
629,.1~163,163,C2,Market,01,3,500g Nut Muesli,14,West,2041,ST,7.08,14450.28,EUR
630,.1~165,165,C2,Market,01,3,500g Original Muesli,14,North,861,ST,5.77,4967.97,EUR
631,.1~167,167,C2,Market,01,3,500g Original Muesli,14,West,1606,ST,5.77,9266.62,EUR
632,.1~169,169,C2,Market,01,3,500g Raisin Muesli,14,North,4544,ST,5.79,26309.76,EUR
633,.1~171,171,C2,Market,01,3,500g Raisin Muesli,14,South,5425,ST,5.79,31410.75,EUR
634,.1~173,173,C2,Market,01,3,500g Raisin Muesli,14,West,5067,ST,5.79,29337.93,EUR
635,.1~175,175,C2,Market,01,3,500g Strawberry Muesli,14,North,7955,ST,6.68,52730.90,EUR
636,.1~177,177,C2,Market,01,3,500g Strawberry Muesli,14,South,2875,ST,6.54,18715.00,EUR
637,.1~179,179,C2,Market,01,3,500g Strawberry Muesli,14,West,5193,ST,7.01,36286.14,EUR
638,.1~181,181,C2,Market,01,4,1kg Blueberry Muesli,10,North,5175,ST,7.26,37570.50,EUR
639,.1~183,183,C2,Market,01,4,1kg Blueberry Muesli,10,South,6462,ST,7.26,46914.12,EUR
640,.1~185,185,C2,Market,01,4,1kg Blueberry Muesli,10,West,2812,ST,7.26,20415.12,EUR
641,.1~187,187,C2,Market,01,4,1kg Mixed Fruit Muesli,10,North,1922,ST,7.06,13569.32,EUR
642,.1~189,189,C2,Market,01,4,1kg Mixed Fruit Muesli,10,South,5311,ST,7.06,37495.66,EUR
643,.1~191,191,C2,Market,01,4,1kg Mixed Fruit Muesli,10,West,5458,ST,6.88,37558.03,EUR
644,.1~193,193,C2,Market,01,4,1kg Original Muesli,10,North,4126,ST,6.35,26200.10,EUR
645,.1~195,195,C2,Market,01,4,1kg Original Muesli,10,South,909,ST,6.35,5772.15,EUR
646,.1~197,197,C2,Market,01,4,1kg Blueberry Muesli,12,North,5094,ST,7.26,36982.44,EUR
647,.1~199,199,C2,Market,01,4,1kg Blueberry Muesli,12,South,12262,ST,7.26,89022.12,EUR
648,.1~201,201,C2,Market,01,4,1kg Blueberry Muesli,12,West,5195,ST,7.26,37715.70,EUR
649,.1~203,203,C2,Market,01,4,1kg Mixed Fruit Muesli,12,North,6667,ST,7.06,47069.02,EUR
650,.1~205,205,C2,Market,01,4,1kg Mixed Fruit Muesli,12,South,6820,ST,7.06,48149.20,EUR
651,.1~207,207,C2,Market,01,4,1kg Mixed Fruit Muesli,12,West,8300,ST,7.06,58598.00,EUR
652,.1~209,209,C2,Market,01,4,1kg Original Muesli,12,South,4966,ST,6.35,31534.10,EUR
653,.1~211,211,C2,Market,01,4,1kg Original Muesli,12,West,4696,ST,6.35,29819.60,EUR
654,.1~213,213,C2,Market,01,4,500g Blueberry Muesli,12,North,14264,ST,6.23,88864.72,EUR
655,.1~215,215,C2,Market,01,4,500g Blueberry Muesli,12,South,9056,ST,6.23,56418.88,EUR
656,.1~217,217,C2,Market,01,4,500g Blueberry Muesli,12,West,6192,ST,6.23,38576.16,EUR
657,.1~219,219,C2,Market,01,4,500g Nut Muesli,12,North,1607,ST,5.90,9481.30,EUR
658,.1~221,221,C2,Market,01,4,500g Original Muesli,12,North,2321,ST,5.77,13392.17,EUR
659,.1~223,223,C2,Market,01,4,500g Raisin Muesli,12,North,4357,ST,5.79,25227.03,EUR
660,.1~225,225,C2,Market,01,4,500g Raisin Muesli,12,South,2287,ST,5.79,13241.73,EUR
661,.1~227,227,C2,Market,01,4,500g Raisin Muesli,12,West,4623,ST,5.79,26767.17,EUR
662,.1~229,229,C2,Market,01,4,500g Strawberry Muesli,12,North,3932,ST,6.23,24496.36,EUR
663,.1~231,231,C2,Market,01,4,500g Strawberry Muesli,12,South,3045,ST,6.23,18970.35,EUR
664,.1~233,233,C2,Market,01,4,500g Strawberry Muesli,12,West,4172,ST,6.23,25991.56,EUR
665,.1~235,235,C2,Market,01,4,500g Blueberry Muesli,14,North,6504,ST,7.48,48649.92,EUR
666,.1~237,237,C2,Market,01,4,500g Blueberry Muesli,14,South,6249,ST,7.48,46742.52,EUR
667,.1~239,239,C2,Market,01,4,500g Blueberry Muesli,14,West,4170,ST,7.48,31191.60,EUR
668,.1~241,241,C2,Market,01,4,500g Original Muesli,14,North,1721,ST,5.77,9930.17,EUR
669,.1~243,243,C2,Market,01,4,500g Original Muesli,14,South,2383,ST,5.77,13749.91,EUR
670,.1~245,245,C2,Market,01,4,500g Raisin Muesli,14,North,3821,ST,5.79,22123.59,EUR
671,.1~247,247,C2,Market,01,4,500g Raisin Muesli,14,South,4391,ST,6.37,27721.85,EUR
672,.1~249,249,C2,Market,01,4,500g Raisin Muesli,14,West,6146,ST,5.93,36284.82,EUR
673,.1~251,251,C2,Market,01,4,500g Strawberry Muesli,14,North,4973,ST,6.23,30981.79,EUR
